Name,Id
Credit analysis and decision (FalKe),e16d8e55-db5e-4cce-ad8e-55db5e1ccea1
DocFamily Custom API - Event Processing,bf451d75-53f1-4c57-851d-7553f13c5799
EAkte,89d1be4d-6d94-4033-91be-4d6d94d03305
JSON-Placeholder Example,4ac29f73-01cf-4633-829f-7301cf863381
JumpTarget API,1b4bee7e-e406-4024-8bee-7ee4067024c1
Kafka-Topics,3c33458b-89b8-423d-b345-8b89b8123d9d
Kunden API,6f5cd1c2-c27e-4476-9cd1-c2c27e747624
Process-Documentrequest,cc356bee-72e4-4594-b56b-ee72e4b59423
Room Management Beispiel-API,a2fe74af-17e9-4564-be74-af17e93564dc
Room Management Beispiel-API,44b187cc-ee20-47ba-b187-ccee20d7babc
Task API,76b95731-957d-40d7-b957-31957dc0d7e1
Translation API,82a6af8f-3170-4cc9-a6af-8f31705cc967
Wholesale Deals-API,b248ff9b-8ccb-4026-88ff-9b8ccb00264c
Wholesale Facilities-API,22805b5e-166b-447d-805b-5e166bf47d12
Wholesale Glossaries-API,b9ce9129-03ec-46f7-8e91-2903ecd6f7cf
Wholesale Outstandings-API,1c68ef27-f00d-46fe-a8ef-27f00de6fe46
Wholesale Primaries-API,52f408d3-6179-476a-b408-d36179f76ac8
